t,n,m,psa,grade_group,stage
pTX,pN1,cM1,"greater than or equal to 10, but less than 20",4,IVB
pTX,pN1,cM1,"greater than or equal to 10, but less than 20",5,IVB
pTX,pN1,cM1,greater than or equal to 20,1,IVB
pTX,pN1,cM1,greater than or equal to 20,2,IVB
pTX,pN1,cM1,greater than or equal to 20,3,IVB
pTX,pN1,cM1,greater than or equal to 20,4,IVB
pTX,pN1,cM1,greater than or equal to 20,5,IVB
pTX,pN1,cM1a,less than 10,1,IVB
pTX,pN1,cM1a,less than 10,2,IVB
pTX,pN1,cM1a,less than 10,3,IVB
pTX,pN1,cM1a,less than 10,4,IVB
pTX,pN1,cM1a,less than 10,5,IVB
pTX,pN1,cM1a,"greater than or equal to 10, but less than 20",1,IVB
pTX,pN1,cM1a,"greater than or equal to 10, but less than 20",2,IVB
pTX,pN1,cM1a,"greater than or equal to 10, but less than 20",3,IVB
pTX,pN1,cM1a,"greater than or equal to 10, but less than 20",4,IVB
pTX,pN1,cM1a,"greater than or equal to 10, but less than 20",5,IVB
pTX,pN1,cM1a,greater than or equal to 20,1,IVB
pTX,pN1,cM1a,greater than or equal to 20,2,IVB
pTX,pN1,cM1a,greater than or equal to 20,3,IVB
pTX,pN1,cM1a,greater than or equal to 20,4,IVB
pTX,pN1,cM1a,greater than or equal to 20,5,IVB
pTX,pN1,cM1b,less than 10,1,IVB
pTX,pN1,cM1b,less than 10,2,IVB
pTX,pN1,cM1b,less than 10,3,IVB
pTX,pN1,cM1b,less than 10,4,IVB
pTX,pN1,cM1b,less than 10,5,IVB
pTX,pN1,cM1b,"greater than or equal to 10, but less than 20",1,IVB
pTX,pN1,cM1b,"greater than or equal to 10, but less than 20",2,IVB
pTX,pN1,cM1b,"greater than or equal to 10, but less than 20",3,IVB
pTX,pN1,cM1b,"greater than or equal to 10, but less than 20",4,IVB
pTX,pN1,cM1b,"greater than or equal to 10, but less than 20",5,IVB
pTX,pN1,cM1b,greater than or equal to 20,1,IVB
pTX,pN1,cM1b,greater than or equal to 20,2,IVB
pTX,pN1,cM1b,greater than or equal to 20,3,IVB
pTX,pN1,cM1b,greater than or equal to 20,4,IVB
pTX,pN1,cM1b,greater than or equal to 20,5,IVB
pTX,pN1,cM1c,less than 10,1,IVB
pTX,pN1,cM1c,less than 10,2,IVB
pTX,pN1,cM1c,less than 10,3,IVB
pTX,pN1,cM1c,less than 10,4,IVB
pTX,pN1,cM1c,less than 10,5,IVB
pTX,pN1,cM1c,"greater than or equal to 10, but less than 20",1,IVB
